Time resolution is 1 ps
30/ 4/2024 - 23:59:30 -           0 - State: 0 - Option: x
30/ 4/2024 - 23:59:30 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:31 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:32 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:33 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:34 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:35 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:36 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:37 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:38 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:39 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:40 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:41 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:42 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:43 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:44 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:45 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:46 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:47 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:48 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:49 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:50 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:51 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:52 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:53 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:54 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:55 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:56 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:57 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:58 -           0 - State: 1 - Option: 0
30/ 4/2024 - 23:59:59 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0: 0 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0: 1 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0: 2 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0: 3 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0: 4 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0: 5 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0: 6 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0: 7 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0: 8 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0: 9 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:10 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:11 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:12 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:13 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:14 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:15 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:16 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:17 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:18 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:19 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:20 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:21 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:22 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:23 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:24 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:25 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:26 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:27 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:28 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:29 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:30 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:31 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:32 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:33 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:34 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:35 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:36 -           0 - State: 1 - Option: 0
 1/ 5/2024 -  0: 0:37 -           0 - State: 1 - Option: 0
 
